id,base_id,text,domain,intent,description,variant,noise_level,emoji_role,split,source
order_cancel_b001_v01,order_cancel_b001,mera galti se order place ho gaya wala order cancel karna hai,Orders,order_cancel,Cancel an existing order,clean,0_clean,none,train,original_constructed
order_cancel_b001_v02,order_cancel_b001,mera galti se order place ho gaya wala order cancel karna hai,Orders,order_cancel,Cancel an existing order,shorthand,1_light,none,train,original_constructed
order_cancel_b001_v03,order_cancel_b001,mera galti se ordr place ho gaya wala ordr cancel karna hai,Orders,order_cancel,Cancel an existing order,code_mix,1_light,none,train,original_constructed
order_cancel_b001_v04,order_cancel_b001,mera galti se odrer plcae ho gaya wala order cacnel karan hai,Orders,order_cancel,Cancel an existing order,typo,2_medium,none,train,original_constructed
order_cancel_b001_v05,order_cancel_b001,mera galti se order place ho gaya wala order cancel karna hai 🙏,Orders,order_cancel,Cancel an existing order,emoji,1_light,emphasis_or_affect,train,original_constructed
order_cancel_b001_v06,order_cancel_b001,mera galti se order place ho gaya wala order cancel karna hai...,Orders,order_cancel,Cancel an existing order,punctuation,1_light,none,train,original_constructed
order_cancel_b001_v07,order_cancel_b001,mera gatli se order plaec ho gaya wala odrer cnacel karan hai,Orders,order_cancel,Cancel an existing order,shorthand_typo,2_medium,none,train,original_constructed
order_cancel_b001_v08,order_cancel_b001,mera galti se order place ho gaya wala order cancel karna hai 🙏,Orders,order_cancel,Cancel an existing order,shorthand_emoji,1_light,emphasis_or_affect,train,original_constructed
order_cancel_b001_v09,order_cancel_b001,mera galti se ordr place ho gaya wala ordr cancel karna hai 🙏,Orders,order_cancel,Cancel an existing order,code_mix_emoji,2_medium,emphasis_or_affect,train,original_constructed
order_cancel_b001_v10,order_cancel_b001,mera galti seee order place ho gaya wala order cancel karna hai 😭,Orders,order_cancel,Cancel an existing order,stress,2_medium,emphasis_or_affect,train,original_constructed
order_cancel_b002_v01,order_cancel_b002,pls please item ka plan change ho gaya; order ko stop kar sakte ho?,Orders,order_cancel,Cancel an existing order,clean,0_clean,none,test,original_constructed
order_cancel_b002_v02,order_cancel_b002,pls pls item ka plan change ho gaya; order ko stop kar sakte ho?,Orders,order_cancel,Cancel an existing order,shorthand,1_light,none,test,original_constructed
order_cancel_b002_v03,order_cancel_b002,pls please product ka plan update ho gaya; ordr ko stop kar sakte ho?,Orders,order_cancel,Cancel an existing order,code_mix,1_light,none,test,original_constructed
order_cancel_b002_v04,order_cancel_b002,pls please item ka plan change ho gaya; order ko stop kar satke ho?,Orders,order_cancel,Cancel an existing order,typo,2_medium,none,test,original_constructed
order_cancel_b002_v05,order_cancel_b002,pls please item ka plan change ho gaya; order ko stop kar sakte ho? 😕,Orders,order_cancel,Cancel an existing order,emoji,1_light,emphasis_or_affect,test,original_constructed
order_cancel_b002_v06,order_cancel_b002,pls please item ka plan change ho gaya; order ko stop kar sakte ho??,Orders,order_cancel,Cancel an existing order,punctuation,1_light,none,test,original_constructed
order_cancel_b002_v07,order_cancel_b002,pls pls item ka plan cahnge ho gaya; order ko stop kar satke ho?,Orders,order_cancel,Cancel an existing order,shorthand_typo,2_medium,none,test,original_constructed
order_cancel_b002_v08,order_cancel_b002,pls pls item ka plan change ho gaya; order ko stop kar sakte ho? 😕,Orders,order_cancel,Cancel an existing order,shorthand_emoji,1_light,emphasis_or_affect,test,original_constructed
order_cancel_b002_v09,order_cancel_b002,pls please product ka plan update ho gaya; ordr ko stop kar sakte ho? 😕,Orders,order_cancel,Cancel an existing order,code_mix_emoji,2_medium,emphasis_or_affect,test,original_constructed
order_cancel_b002_v10,order_cancel_b002,pls please item kaaa plan change ho gaya; order ko stop kar sakte ho? 😭,Orders,order_cancel,Cancel an existing order,stress,2_medium,emphasis_or_affect,test,original_constructed
order_cancel_b003_v01,order_cancel_b003,"mujhe galti se order place ho gaya, isliye order ab nahi chahiye?",Orders,order_cancel,Cancel an existing order,clean,0_clean,none,validation,original_constructed
order_cancel_b003_v02,order_cancel_b003,"mujhe galti se order place ho gaya, isliye order ab nahi chahiye?",Orders,order_cancel,Cancel an existing order,shorthand,1_light,none,validation,original_constructed
order_cancel_b003_v03,order_cancel_b003,"mujhe galti se ordr place ho gaya, isliye ordr ab nahi chahiye?",Orders,order_cancel,Cancel an existing order,code_mix,1_light,none,validation,original_constructed
order_cancel_b003_v04,order_cancel_b003,"mujeh galit se odrer place ho gaya, isliey order ab nahi chaihye?",Orders,order_cancel,Cancel an existing order,typo,2_medium,none,validation,original_constructed
order_cancel_b003_v05,order_cancel_b003,"mujhe galti se order place ho gaya, isliye order ab nahi chahiye? 😕",Orders,order_cancel,Cancel an existing order,emoji,1_light,emphasis_or_affect,validation,original_constructed
order_cancel_b003_v06,order_cancel_b003,"mujhe galti se order place ho gaya, isliye order ab nahi chahiye??",Orders,order_cancel,Cancel an existing order,punctuation,1_light,none,validation,original_constructed
order_cancel_b003_v07,order_cancel_b003,"mujhe glati se odrer place ho gaya, iliye order ab nahi chaihye?",Orders,order_cancel,Cancel an existing order,shorthand_typo,2_medium,none,validation,original_constructed
order_cancel_b003_v08,order_cancel_b003,"mujhe galti se order place ho gaya, isliye order ab nahi chahiye? 😕",Orders,order_cancel,Cancel an existing order,shorthand_emoji,1_light,emphasis_or_affect,validation,original_constructed
order_cancel_b003_v09,order_cancel_b003,"mujhe galti se ordr place ho gaya, isliye ordr ab nahi chahiye? 😕",Orders,order_cancel,Cancel an existing order,code_mix_emoji,2_medium,emphasis_or_affect,validation,original_constructed
order_cancel_b003_v10,order_cancel_b003,"mujhe galti seee order place ho gaya, isliye order ab nahi chahiye? 😭",Orders,order_cancel,Cancel an existing order,stress,2_medium,emphasis_or_affect,validation,original_constructed
order_cancel_b004_v01,order_cancel_b004,"Order place ho chuka hai, par item ka plan change ho gaya; cancel kar do",Orders,order_cancel,Cancel an existing order,clean,0_clean,none,train,original_constructed
order_cancel_b004_v02,order_cancel_b004,"order place ho chuka hai, par item ka plan change ho gaya; cancel kar do",Orders,order_cancel,Cancel an existing order,shorthand,1_light,none,train,original_constructed
order_cancel_b004_v03,order_cancel_b004,"ordr place ho chuka hai, par product ka plan update ho gaya; cancel kar do",Orders,order_cancel,Cancel an existing order,code_mix,1_light,none,train,original_constructed
order_cancel_b004_v04,order_cancel_b004,"Odrer palce ho chuka hai, par item ka plan chaneg ho gaya; cance kar do",Orders,order_cancel,Cancel an existing order,typo,2_medium,none,train,original_constructed
