id,text,domain,intent,source
b_order_cancel_01,bhai order cancel krdo please urgent meeting h,Orders,order_cancel,dataset_B_handauthored
b_order_cancel_02,order cancl kr do yr,Orders,order_cancel,dataset_B_handauthored
b_order_cancel_03,cncl my ordr asap,Orders,order_cancel,dataset_B_handauthored
b_order_status_01,mera order kaha h abhi tak pta nahi chala,Orders,order_status,dataset_B_handauthored
b_order_status_02,order status?? koi update nahi mila abhi tk,Orders,order_status,dataset_B_handauthored
b_order_status_03,whr is my ordr yr,Orders,order_status,dataset_B_handauthored
b_order_modify_01,order me address change krna h thoda,Orders,order_modify,dataset_B_handauthored
b_order_modify_02,can i modify qty in my order pls,Orders,order_modify,dataset_B_handauthored
b_order_modify_03,order edit karna h ek cheez,Orders,order_modify,dataset_B_handauthored
b_order_cancellation_failed_01,maine cancel kiya tha but order fir bhi aa gya,Orders,order_cancellation_failed,dataset_B_handauthored
b_order_cancellation_failed_02,cancel button dabaya but status same h abhi bhi,Orders,order_cancellation_failed,dataset_B_handauthored
b_order_cancellation_failed_03,order cancel nahi hua application me error dikha,Orders,order_cancellation_failed,dataset_B_handauthored
b_wrong_item_01,mujhe kuch aur mila jo order nahi kiya tha,Orders,wrong_item,dataset_B_handauthored
b_wrong_item_02,wrong product aaya bhai ye toh maine mangaya hi nahi,Orders,wrong_item,dataset_B_handauthored
b_wrong_item_03,item mismatch hai jo bheja vo galat h,Orders,wrong_item,dataset_B_handauthored
b_delivery_address_change_01,address change krna h delivery se pehle,Delivery,delivery_address_change,dataset_B_handauthored
b_delivery_address_change_02,shipping address galat h update kr do,Delivery,delivery_address_change,dataset_B_handauthored
b_delivery_address_change_03,naya address dalna h order me,Delivery,delivery_address_change,dataset_B_handauthored
b_delivery_delay_01,delivery kaafi late ho rahi h kya hua,Delivery,delivery_delay,dataset_B_handauthored
b_delivery_delay_02,order abhi tk nahi aaya bohot late h,Delivery,delivery_delay,dataset_B_handauthored
b_delivery_delay_03,delay ho gya delivery me kb tk milega,Delivery,delivery_delay,dataset_B_handauthored
b_delivery_tracking_01,courier kaha h abhi track nahi ho rha,Delivery,delivery_tracking,dataset_B_handauthored
b_delivery_tracking_02,parcel ka status pta krna h,Delivery,delivery_tracking,dataset_B_handauthored
b_delivery_tracking_03,shipment track krna h mera,Delivery,delivery_tracking,dataset_B_handauthored
b_delivery_damaged_01,package tuta hua mila bohot bura laga,Delivery,delivery_damaged,dataset_B_handauthored
b_delivery_damaged_02,item damaged aaya box bhi phata hua tha,Delivery,delivery_damaged,dataset_B_handauthored
b_delivery_damaged_03,product broken h delivery ke baad,Delivery,delivery_damaged,dataset_B_handauthored
b_delivery_missing_01,delivered dikha rha but mujhe kuch nahi mila,Delivery,delivery_missing,dataset_B_handauthored
b_delivery_missing_02,status delivered h but parcel missing h,Delivery,delivery_missing,dataset_B_handauthored
b_delivery_missing_03,courier delivered bola but ghar pe kuch aaya nahi,Delivery,delivery_missing,dataset_B_handauthored
b_return_item_01,ye product return krna h mujhe pasand nahi aaya,Returns & Refunds,return_item,dataset_B_handauthored
b_return_item_02,return process start krna h iska,Returns & Refunds,return_item,dataset_B_handauthored
b_return_item_03,wapas krna h ye item,Returns & Refunds,return_item,dataset_B_handauthored
b_exchange_item_01,size change krna h same product ka,Returns & Refunds,exchange_item,dataset_B_handauthored
b_exchange_item_02,exchange krna h ye variant ka,Returns & Refunds,exchange_item,dataset_B_handauthored
b_exchange_item_03,different color chahiye exchange krke,Returns & Refunds,exchange_item,dataset_B_handauthored
b_refund_status_01,mera refund kaha h abhi tak nahi aaya,Returns & Refunds,refund_status,dataset_B_handauthored
