raw_text,guessed_intent,matched_keywords
Thank you bhaiya,thanks,thanks:thank you
"Dear Students,  The Quant Club, IIT Mandi invites you to participate in Brumble 2.0, an inter-collegiate competition on Matiks.  Prize Pool: ₹16 Lakhs Dates: 16th–22nd August Brumble Code: 306439  Every game you play contributes League Points (LP) to IIT Mandi. The college leaderboard is based on:  * 40% Total LP per College * 60% Average LP per User  The competition includes daily contests such as Math-Maze, Logic, Ken-Ken, Mind-Snap, Sudoku, Math and Cross-Math. The Top 32 colleges qualify for Phase 2.  How to participate:  1. Enter the Brumble Code: 306439 2. Register with your college email ID. 3. Select IIT Mandi as your college. 4. Start playing and earn LP for IIT Mandi.  Register/Play: https://app.matiks.org/brumble?event=Brumble%202.0&referred_by=jashnoorsingh  If you face a “Not Found” error, update/reopen the Matiks app and try again.  Let’s get as many IIT Mandi students participating as possible and push our college up the leaderboard.  Regards, Quant Club IIT Mandi",faq_how_to,faq_how_to:how to
thanks man,thanks,thanks:thanks
Dw guys Aaj toh lit intro mei 3rd and 4th yr ke seniors bhi hai Iska bhi puchlo tips😉 On how to balance it all <This message was edited>,faq_how_to,faq_how_to:how to
Oh okay thank you,thanks,thanks:thank you
"SNTC INTRO — WELCOME FRESHERS!* 🚀  Hey Freshers! 👋  Your journey at IIT Mandi is just getting started, and it’s time to discover the world of technology, innovation, projects, competitions, and opportunities beyond the classroom. 💡  Join us for the SNTC (Science and Technology Council) Introduction Session, where you’ll get to know about our technical clubs, major events, exciting projects, competitions, and achievements. 🏆  📅 Date: 17th August 2026 ⏰ Time: 5:00 PM onwards 📍 Venue: Auditorium, North Campus, IIT Mandi  Come  discover, connect, and be a part of what comes next!  🚀  CONNECT • COLLABORATE • CREATE  We look forward to seeing you there! 💚",greeting,greeting:hey
Hello,greeting,greeting:hello
Nhi hogaya thanks,thanks,thanks:thanks
"Hello Fellas!!@⁨all⁩ 🫂 Welcome to Indian Institute Of *Technology* Mandi.  Yaar Tech institute mein aa to gye but kya EVS,German and baaki courses padhke tech sikh jaaoge ? *NO* !!.  Kabhi to bachpan mein /jee prep ke time.socha hoga na ki bade hoke /college jaake Website banaunga, Drone Banaunga, RC Car banaunga ,Robot banaunga and what not.  This is the opportunity!!! SnTC Intro is here!!! We introduce you to all the Tech Clubs here at IIT Mandi.  Don't had any knowledge or dreams in Tech? Come to the Intro!! Make your dreams here , Get to know the clubs and projects and find your dream tech club here.  Yaar projects development/skills clubs se better koi sikha nhi sakta😌 At clubs /projects you make memories and enjoy with your clubmates through the journey of long sleepless nights , Crazy pressure with targets of completing the projects tasks and what not 😋.You make new friends , and go away with lifelong memories of succes, failures and fun.  So if you also wanna have these experiences, come today, Time : 5pm Venue : Auditorium.  Don't missout 😁 <This message was edited> 17/08/26, 07:35 - Jenish Gandhi GE pinned a message",greeting,greeting:hello
How to join the club,faq_how_to,faq_how_to:how to
